Q6P1D7	SLX4
55353	Apg12p::,flotillin‐1::,GATE‐16::,Atg4A::,Bcl‐2::,PS1::,TLN::,FIS1::,daf-15::,vps-34::,ULK1::,FIP200::,DAPK::,Jumpy::,TIGAR::,FYCO1::,DHPR::,DHR3::,dS6K::,MuRF‐1::,drpr::,NOX2::,Sqa::,yki::,LAMP2::,ssm4::,MVP::,MurRF1::,androgen receptor::,TAB2::,M45::,OCT::,SCOC::,Hla::,Bim::,LC8::,Smo::,RagB::,CD16::,LRRK2::,RNase A::,Mfn2::,epg-8::,let-363::,Ripk2::,SOX2::,miR-212::,nsP2::,AIN‐1::,SNX18::,Beclin1::,MVb::,Atg14L1::,WASH::,MiroS::,LGG-1::,bec-1::,PlcA::,Rosa26::,MIC3::,Beclin-1::,ATG16L::,Hace1::,β‐catenin::,Atg8p::,Rpl5::,Rpl25::,VPS35::,FAM21::,invG::,spns1::,WIPI2b::,RE1::,AR25Q::,Gla::,ATG‐18::,VAMP2::,lap::,IL-8::,secretagogin::,CRH::,prk5::,Bax::,Inn1::,STIL::,SAS-6::,Pax6::,dlrrk::,HRas::,ZO-1::,Mgat3::,Cx3cr1::,PR-SET7::,Ki-67::,TMPRSS2::,Mcm2::,atntr1::,pif4::,Dmef2::,Rag2::,FXR::,GC‐G::,UBE2D1::,CD4::,CtIP::,Insr::,Phb2::,Dgcr8::,LGR5::,Terc::,ATP8A1::,Htb1::,btn2::,TFG::,Sec16A::,NQO1::,ufd-2::,Rag1::,Karst::,βH-spectrin::,laminin::,dfmr1::,CCR9::,CD32a::,CEP164::,MDH2::,Star::,HMBOX1::,APOA1::,β1 integrin::,PD-1::,LC3B::,MuSK::,Nrf1::,Pdk4::,TNF::,α-actinin::,IL-1β::,XRCC4::,Coq9::,prb1::,UBC::,IL-18::,UBQLN1::,H19::,miR-511::,rpoE::,ice2::,ldb16::,Tsc22d1::,Npc2::,Iba1::,C7::,tenascin-C::,Ctgf::,LXRα::,Catnb::,Dnmt2::,KLHL3::,CUL3::,p48::,casp3::,IgG2a::,Sema3A::,NSMCE2::,VEGF-C::,Vegfd::,YAP::,TGF-α::,CD56::,Swi6::,swi6::,GBS β::,IL‐8::,Rpp30::,dystrophin::,PSD95::,PLCβ1::,CD11c::,CAIX::,Claudin5::,ERK5::,Syt11::,ral::,ApoE::,BRPF3::,ABL1::,Tie2::,CD22::,Cd22::,TRAPPC12::,eIF2a::,caspase-12::,Tcf7l1::,KIF1B::,HDAC6::,RIG-I::,clathrin light chain::,B2m::,TFE3::,Col1a1::,Lyzs::,OTUB1::,IL18::,IL1R1::,PCM1::,STAT2::,Stat1::,Mdm2::,CENP-E::,Cas9::,gTbr2::,LukE::,Ucp1::,Adrb3::,MCIDAS::,acetyl-CoA::,Prp5::,snR81::,FoxM1::,AchE::,ERG::,Stat3::,ESCO2::,Dvl::,Yap1::,Ku70::,NeuN::,Rnaseh2b::,Sld7::,G6PI::,Chk1::,mdi::,MDI::,Fus::,CtBP2::,mGluR6::,NB-3::,INVS::,SirT7::,RIF1::,Fbxl17::,Mdy2::,ERK1::,Munc18::,munc18-1::,CNOT2::,FLCN::,FBH1::,FRS2::,IRE1α::,Cdk1::,PDE10A::,uPA::,trt1::,sarcomeric actin::,Fstl1::,AKT2::,Foxp3::,HuR::,DnaK Chaperonin::,Pgc1::,USP19::,CPAP::,Nde1::,STX3::,TBK1::,TOM70::,cdkb1;1::,cycb1;1::,Histone3::,FBW7α::,SOX9::,DIS3L2::,ErbB4::,HOIP::,IBB::,Chm7::,Igfbp1a::,H2AX::,RNF168::,F9::,MET::,Gemc1::,E2F1::,Gpr124::,Ngn1::,CYLD::,MALT1::,ABIN1::,CARD14::,SYCP3::,REC8::,IL-2Rα::,IL-2Ra::,PTPIP51::,VAPA::,cofilin::,UNC-59::,Sirt5::,PCNA::,HUWE1::,Chs3::,R-spondin 1::,EpCam::,PIK3CA::,Prox1a::,Smoothened
10955	Serinc3::,SERINC3
P50454	HSP47
P02778	erg6‐2::,CHMP2B::,nicastrin::,DRP1::,bec-1::,LGG-1::,MCL‐1::,Atro::,CK2α::,Rap2b::,pex19::,Bim::,LC8::,Epg5::,ATG-9::,epg-7::,ACS2::,pep‐2::,GRI::,Bak::,centrin::,ATG16L1::,CD11b::,USP30::,Gata2::,Sec24D::,Phb2::,MBD2::,PKM2::,CD45::,NRBF2::,DARS::,IKKε::,Snq2::,OVA::,miR-511::,C7::,IL4::,γH2AX::,MICA::,Ang-2::,RPA1::,miR-10b::,E2F7::,FBXO5::,TPO::,Tead3::,Fus::,Munc18-1::,AGO1::,AGO2::,NEMO::,BRCA2::,VN::,PDIA1::,cdkb1;2::,DNGR-1::,G6PD::,Epo
2214|2215	CD16
P06748	NPM1::,nucleophosmin::,NPM
Q99895	chymotrypsin
21937	TNFR1::,Tnfrsf1a
214579	Aldh5a1
175410	daf-2::,daf‐2
9020	Hs
P12023	lamp2a::,aut7::,aut2::,Aut7p::,Apg5p::,apg12::,apg10::,myelin::,npc1::,p19INK4D::,Aβ::,Bcl‐XL::,Bcl‐2::,Bad::,Vps24::,APP::,Aβ40::,Aβ42::,βCTF::,catD::,TLN::,Bax::,DRP-1::,p55::,DAPk::,IFN-γ::,SipB::,SH-EP::,LGG-1::,vps-34::,daf-2::,Ref(2)P::,ULK2::,hid::,Dcp-1::,nanos::,BAG1::,WIPI1::,bag3::,BAG3::,Atg4B::,β′-COP::,EGF::,RagD::,dRagA::,Jumpy::,MTM1::,TIGAR::,VCP::,p38IP::,FYCO1::,ATG4A::,LC3A::,BCL‐2::,IP3 receptor type I::,α1S::,ubiquitylation::,S6K1::,dS6K::,DHR3::,cortactin::,AMPK::,atrogin‐1::,LC3B::,drpr::,Atg16L1::,HMGB1::,Hmgb1::,Rb::,MCK::,cholera toxin B::,IRGM::,Eis::,Sqh::,d::,yki::,Yki::,sav::,DIC::,mmi1::,Cdc2::,WDR18::,RpL27::,SUMO1::,Becn1::,IL-1β::,ATPase::,Cdc11::,MVP::,MurRF1::,Androgen receptor::,BI‐1::,Nemo::,UNC‐26::,cyclin B::,POMC::,ACTH::,SCOC::,FEZ1::,ULK1::,WAC::,Hla::,α-hemolysin::,sseL::,Pex11::,Pex13::,Ret::,Bim::,myosin VI::,CYP27B1::,Pex30::,MCUR1::,COII::,NS3::,nbr1::,TFEB::,DEDD2::,TMEM59::,Ape1::,Epg5::,LRRK2::,SQST-1::,epg-6::,W07G4.5::,rheb-1::,Beclin‐1::,Ubqln4::,IL-18::,Ripk2::,Nod2::,casp-1::,FIP200::,NCAM::,Cdkn1a::,nestin::,atg30::,atg32::,miR-212::,α-MHC::,Gal4::,nsP2::,ALG‐2::,LGG‐1::,gba::,MAP2::,PrP::,EndoH::,SH3PX1::,SNX18::,FKBP::,ROCK1::,XIAP::,Mdm2::,Car7::,VII::,CA II::,CAVII::,CA VII::,Aurora B::,Atg2::,Uba1::,Gal3::,Mfn2::,GEMIN3::,let-7a::,PMP70::,Dynamin::,ATG16L1::,transferrin receptor::,VAMP3::,WASH::,Hrs::,ZW10::,syntaxin 18::,MTMR3::,scramblase-3::,API::,Pgk1::,GlyS::,msh-6::,EXO-3::,exo-3::,RPA-1::,CHK-1::,Fbxo7::,PlcA::,LAMP-1::,MIC3::,Park2::,Ift88::,Aco2::,dnm1::,DAPK1::,RPTOR::,BECN1::,CIP2A::,Hace1::,HACE1::,LC3β::,ERT2::,OCT::,PDH::,Rpl25::,ubp3::,Mex67::,Atg19::,FAM21::,FKBP15::,VPS29::,PK::,ATPsyn-α::,SesB::,Comp V β::,Lon::,prm15::,nqm1::,pnp1::,invG::,p47phox::,WIPI2b::,TDP43::,REST::,spr4::,GL2::,Atg16L::,AR125Q::,Atg11::,bp412::,SQST‐1::,sma‐3::,lin‐9::,atg‐2::,CALM::,hsc70::,CD4::,L2A::,Thy-1.1::,H-2Db::,Gzmb::,ERdj3::,TTR::,ATF6::,AGO6::,ddm1::,AVP::,secretagogin::,scgn::,GRI::,Smac::,Bak::,Cdc14::,Clb2::,Inn1::,RBM14::,centrin-2::,centrin::,prp1‐1::,Rap1::,PHD3X::,PI5P4K2A::,DFCP1::,Ctns::,TNF-α::,ApoE::,Cx3cr1::,F4/80::,IBA-1::,Fas::,APOE::,IL-6::,PR-SET7::,HNF4::,Alb::,KSHV‐TK::,Ltbr::,Noc::,noc::,Dup::,ANTR1::,NTR1::,COI12::,Coi12p::,PA28β::,α2::,lhy::,prr9::,ATHB2::,Dmef2::,Rab3::,Rab3-GAP::,CG9485::,Rag2::,Dusp5::,IL-33::,PCDH7::,rpb1::,FXR::,PIASy::,AMPKα::,HSF1::,GC‐A::,GC‐G::,UBE2V1::,UBE2D1::,USP30::,USP21::,ERCC1::,Oct4::,Nestin::,CD25::,CD69::,Yip1A::,Lamp2::,Mfa1::,FimA::,DC-SIGN::,CD83::,Dectin1::,NF-κB::,NOD2::,Phb2::,Igf1r::,STAMP2::,EN::,IGF2::,TAS1c::,Dgcr8::,Mbd2::,Myc::,Terc::,PCNA::,Wnt4::,nPTB::,Matrin3::,CD63::,ATP8A1::,GM130::,CDC50A::,ATP8A2::,PRMT5::,MVH::,Blimp1::,ubr1::,VHL::,hsp42::,IP3R type 1::,Sec16B::,ManII::,CACNA1A::,SOD1::,UBE4B::,ufd-2::,UFD-2::,spr-5::,LSD1::,Signr3::,Karst::,Ajuba::,YAP::,COLVII::,DARS::,PlGF::,FMRP::,dfmr::,γ-H2AX::,IL8::,BDCA2::,Ccno::,GOT2::,MDH2::,Shi::,miR‐125::,Abca1::,LXR::,HMBOX1::,NCOA5::,miR-210::,GCN4::,endothelin-1::,PECAM::,Endothelin-1::,sst1::,SKAP55::,ADAP::,Tie2::,XBP-1::,albumin::,miR-200::,HES1::,ACTB::,Lgr5::,Pdk2::,Foxo1::,Murf1::,TNF::,α-actinin::,MURF2::,IKKε::,IL-10::,CD34::,cyclin D1::,Ccnd1::,DDX3::,γH2AX::,Coq9::,sec12ts::,Snq2::,pep4::,Sec13::,Snc1::,ypt1::,CN3::,APPβ::,LIG4::,RAP1::,TRF1::,H19::,TNFR1::,Tsc22d3::,LOX::,Kcnq1::,yeh1::,TGF-β::,Tbr1::,MEK1::,CRAF::,Mac2::,CD206::,CCR1::,CCL6::,rhodopsin::,CEP290::,vitronectin receptor::,TNFα::,SYCP1::,Tex11::,C7::,tenascin-C::,Smad2::,LXRα::,GATA4::,Apc::,Catnb::,Sema3C::,NG2::,CUL3::,Nedd8::,AID::,Villin::,p48::,RAE::,caspase-3::,PHD1::,α-SMA::,Sema3A::,CD31::,NRP1::,IgG2a::,Pai1::,VEGF::,NSMCE2::,Nsmce2::,KRIT1::,CCM3::,TGF-α::,AREG::,E6::,MICA::,CD16::,CD56::,NKG2D::,Rab13::,Rabin8::,Rab8A::,Sig5::,Siglec‐14::,NF‐κB::,Hsp70::,NCL::,Mapt::,FXR2::,gephyrin::,dystrophin::,strophin c::,ERC2::,NR3C1::,hmgcr::,T2::,PLCβ1::,Pep2::,bak1::,2d2::,CD11c::,CX3CR1::,Ccl5::,Cxcl9::,IAb::,mitofilin::,PARP::,Claudin5::,BMP6::,Mef2D::,Syt4::,ade6::,ral::,GAL4::,sec8::,fkh::,Su(H)::,SLFN11::,CHK1::,APX2::,BRPF1::,TDP-43::,TBPH::,SMC1::,Braf::,cTNT::,CD22::,sialidase::,Cd22::,CD45::,CTCF::,TBC1D14::,TRAPPC4::,transferrin::,KIF21A::,NPY::,KIF1C::,IFN-b::,Dyn1::,DNase I::,Ccl1::,TFE3::,PPP3CA::,MCOLN1::,Lyzs::,CD11b::,Ly6G::,p38γ::,CTGF::,eDHFR::,REM2::,EFHA1::,OTUB1::,ERK1/2::,MBNL1::,miR-10b::,CtBP2::,Psd-95::,amyloid-precursor protein::,CASP1::,VEGF-A::,Flt1::,Flk1::,PCM1::,Mx2::,IFNβ::,IRF9::,STAT1::,Stat1::,Tbr2::,Cas9::,gTbr2::,HlgB::,LukE::,HlgA::,E2F7::,CDC6::,Trpv3::,TRPV2::,Lpl::,Ucp1::,Pgc1α::,GemC1::,atpcl::,WRKY29::,FRK1::,snr81::,snR81::,IL-12p35::,VIM::,GSK3β::,FBXW7::,USP5::,β-catenin::,FoxM1::,ERG::,LIF::,Stat3::,sororin::,IFT54::,NDUFB8::,MTCO-1::,53BP1::,Nanog::,Yap1::,Pou5f1::,MARK4::,Lrig1::,TrkB::,Ku70::,CamKII::,NeuN::,cGAS::,RNase H2B::,IL2::,FACL4::,DRP1::,Mcm4::,Uba2::,eIF4A::,NAT1::,MDI::,Larp::,mdi::,Hist1h2bc::,Fus::,NB-3::,PTPσ::,CHL1::,NCT::,INVS::,h3.3::,IGVLR::,IGVL::,Igλ::,ATM::,Skp1::,Fbxl17::,Ptch1::,Mdy2::,Ubp6::,MALAT1::,nerfin-1::,4E-T::,VCAM-1::,p150::,COL3A1::,GADD45β::,Lepr::,Cd36::,FLCN::,RILP::,GluA1::,α11.2::,β2AR::,SMCR8::,WDR41::,Sqstm1::,ATXN2::,Nap1::,H2A::,WRNIP1::,FBH1::,STING::,ICP27::,actin::,Apoe::,BRAF::,TGFβ::,CLU::,SEPT7::,Nppa::,DARS2::,plasminogen::,VN::,uPA::,mdm10::,Mdm10::,imp2::,TKS5::,HGF::,RAB2A::,hnRNPH::,collagen I::,fibronectin::,Acta2::,CD127::,IFNG::,miR-122::,CAT-1::,Rab1a::,Pgc1::,lro1::,are2::,Pou2af1::,CXCR5::,BTLA::,PD1::,ICOS::,Oct2::,USP13::,IFNB::,USP19::,CPAP::,Cyclin-A::,Pax-6::,PDIA1::,ERp57::,FUS::,VAPB::,WIPI2::,NSUN3::,cycb1;1::,cycb1;3::,cdkb1;1::,cdkb1;2::,CYCA2;3::,ku70::,NS1::,Snap29::,CREST::,FBW7α::,GSK3ß::,SOX9::,U12::,DIS3L2::,ACO2::,Lyn::,VPS4B::,ErbB4::,miR-34b::,Chm7::,MAPKKK5::,PBL27::,bactin::,igfbp1a::,PS1::,junD::,Kap1::,RNF8::,GALC::,Ap2a1::,PolD4::,POLD3::,Mavs::,Ifnar1::,IFNAR::,NAT4::,nat4::,Deup1::,Gpr124::,c-Jun::,MCP-1::,CARD14::,A20::,MALT1::,Rec8::,Stag3::,Smc1β::,UBQLN4::,SRP54::,ORP8::,ORP5::,PTPIP51::,SIRT5::,HUWE1::,BRCA2::,TAZ::,Chs5::,Dln1::,Hbb-b1::,Alas2::,Trpml1::,Epo::,EpoR::,cyclinD2::,R-spondin 1::,noggin::,pericentrin::,Aurora A::,KV10.1::,PALB2::,fft3::,Asf1B::,Vimentin::,SYCP3::,nkx2.2a
Q7TNL9	CHCHD10
12286	Cacna1a::,CACNA1A
338799	lamp2a::,aut7::,npc1::,DmATG1::,EEA1::,Aβ40::,TLN::,PS1::,catD::,DRP-1::,NAF‐1::,cytochrome::,htt::,atrogin‐1::,myosin regulatory light chain::,ft::,NBR1::,mei4::,mcp5::,ssm4::,IL-18::,BI‐1::,GRASP55::,UNC‐26::,RagC::,α-hemolysin::,Ret::,DFCP1::,Pbs2::,myosin-VI::,VP3::,DFCP-1::,Epg5::,p20::,atrogin-1::,lamin A/C::,CA II::,mlh-1::,LAMP2::,TRAIL::,Pex14::,PDHE2/E3 bp::,Rpl25::,Atg34::,FKBP15::,urh1::,spns1::,WIPI2b::,LC3B::,hrr25‐ts::,TFEB::,rpn‐2::,cholera toxin subunit B::,Itch::,Id1::,Ctns::,Mgat3::,Aβ::,CD133::,SHP::,SHP2::,TCR::,TNF-α::,LSD1::,Hippo::,TIP60::,Ccno::,CEP164::,GOT2::,Ly6G::,SRF::,Coq9::,Sec61::,XRCC4::,UBQLN1::,NPC2::,Tex11::,C7::,p48::,p38β::,CD11b::,MICA::,Siglec‐14::,SIGLEC14::,Mapt::,Ang-1::,YAP::,Su(H)::,DND1::,DCC::,CTCF::,Grp78::,Ctnnb1::,CD4::,miR-10b::,PITRM1::,Stat1::,McIdas::,LIF::,rad50::,Yap1::,RNASEH2B::,Rnaseh2b::,Sld3::,HIF-1α::,Ubc9::,SP100::,caspase 3::,NB-3::,miR-1::,DDX6::,db::,STING::,TBK1::,Wee1::,SEPT6::,EGOT::,VPS39::,Bcl6::,SOX9::,DIS3L2::,ERBB4::,Chm7::,SYCE1::,KV10.1::,PALB2::,Fft2::,SYCP3
P0A3R5	PTX
P09733|P02557	tubulin
19247|5781	APG10::,bec-1::,daf-15::,TRAIL::,β′-COP::,p40phox::,cortactin::,htt::,DHR3::,eis::,Foxg1::,Atg8p::,PTKB::,mei4::,NAP1L3::,FEZ1::,WAC::,α-hemolysin::,pho13::,Pho8::,SQSTM1::,LC3B::,epg-7::,nestin::,Rab12::,gba::,53BP1::,GABARAP-II::,Atg2::,MTMR3::,RINT-1::,LGG-1::,PI3K p110α::,mgm1::,PPP2R1A::,ACS2::,Atg19::,VPS35::,Complex V β::,PTEN::,ERdj3::,AGO6::,MET3::,Sic1::,RBM14::,CPAP::,Ctns::,LAMP2A::,Mgat3::,APOE::,KSHV‐TK::,LTβR::,RAB3GAP::,Dusp5::,PCDH7::,rpb9::,GC‐G::,Yip1A::,Phb2::,EB1::,EN::,Dgcr8::,Msi1::,Terc::,LGR5::,PR::,Sec23A::,ufd-2::,LSD1::,β-spectrin::,FMR1::,survivin::,Asm::,ALDH1A1::,miR-203::,Nef::,Lgr5::,neutrophil elastase::,Coq9::,Sec61::,Snc1::,ypt1-1::,Hmg1::,CENP-F::,UBQLN1::,Pgk1::,Braf::,Npc2::,Iba1::,Tsp1::,C7::,CD34::,CUL3::,AID::,p48::,Tgfb1::,KRIT1::,Vegfr3::,PECAM1::,YAP::,Siglec‐5::,TLR13::,Mapt::,2d2::,BMP6::,Atg6::,ral::,sec3::,GAL4::,BRPF3::,Bak::,B-Raf::,TET1::,TET2::,caspase-12::,RSpondin1::,IKBα::,miR-10b::,Nppa::,HKII::,Trpv1::,McIdas::,KLF5::,TPO::,TIMM23::,Yap1::,MAP-2::,Rnaseh2b::,INVS::,Sufu::,Fbxl17::,munc18-1::,p135::,collagen 3A1::,Gadd45b::,α11.2::,FRMD6::,SEPT7::,Ape1::,Foxp3::,DnaK Chaperonin::,Rab1a::,Hcp1::,gp6::,CXCR5::,CD4::,Pou2af1::,ULK1::,ERp57::,cycb1;4::,ku70::,DIS3::,DIS3L2::,BSA::,PBL27::,igfbp5a::,Aβ::,GALC::,S100a8::,CARD14::,MALT1::,TEX12::,REC8::,IL-2Ra::,UBQLN4::,HUWE1::,CCNA::,chs5::,GASZ::,Eif2s1::,Trpml1::,Epo::,KV10.1::,Gli2a
P09535	IGF2
208	Akt2::,AKT2
O43524	FoxO3::,FOXO3::,Foxo3
P08833	Igfbp1::,IGFBP1
64835	cytochrome b5
12798529	Bcl‐XL::,DRP-1::,crmA::,Ref(2)P::,ULK1::,atrogin‐1::,Rb::,Vti1b::,Sqh::,dachs::,red1::,Map1lc3b::,LC3A::,CD16::,Atg16L1::,PSA::,Mcip1::,hRARα::,let‐60::,DCP1A::,P70S6K::,H3R::,Nox2::,ddm1::,httQ74::,TAB2::,Sec16A::,pertussis toxin::,cKIT::,GCN4::,TP53INP1::,Peli1::,IL-4::,pep4::,mclA::,IgG2a::,mitofusin 2::,exo84::,SLFN11::,VDAC3::,CTCF::,Mapk12::,CASP11::,PCM1::,FRK1::,ESCO1::,Cdca5::,Ku70::,MCU::,SUMO2::,eIF4A::,MDI::,Ptch1::,Nemo::,Rab34::,GluA1::,IRE1α::,CLU::,Ugo1::,VPS39::,S100a4::,LC3B::,PTPIP51::,Sept2
Q9H492|Q9GZQ8|Q9BXW4	LC3::,LC3-II
Q8NFU7	TET1::,Tet1
O75385	atg1::,ATG1α::,ULK1::,Atg1::,Ulk1::,ATG1
P14778	ScAtg8::,POMC::,SCOC::,IRS2::,GABARAP::,R1::,Yip1A::,Phb2::,UBE4B::,MDH2::,esxA::,TGF-β::,Npc2::,AREG::,CFL1::,abo1::,spbc19c7.11::,SLFN11::,NANOS3::,hsfa2::,PCM1::,FOXA1::,Fbxl17::,DCP1::,CD11b::,FUS::,ORP8::,GSK-3::,Eng
Q9VHV8|A0A0B4LHX7	Puckered
10318	ABIN-1
P27361|Q16659|Q8TD08|P28482|P53778|Q13164|P31152	ERK
Q8NHV4	NEDD1
10616	HOIL-1L
851494	pex19::,PEX19
Q3THE2	MLC
39429	vps-34::,FYCO1::,BCL‐2::,Pla1::,MVP::,CD-M6PR::,polyubiquitin::,Acs2p::,Dcp-1::,urh1::,Nox2::,H-2Db::,Ctns::,NOD2::,Mbd2::,Rubicon::,CG9934::,RCAN2::,Sema3a::,Vegfc::,YAP::,GABAAR γ2::,Nppb::,Tbr2::,E2F7::,FoxM1::,FGF::,NB-3::,PDK1::,Fbxl17::,Nuf2::,cycb1;3::,miR-34::,snf7::,BIK1::,junD::,T7E1::,MALT1::,CYLD::,IL-2Ra
23657	SLC7A11::,xCT
Q38819	CYCA2;3
219135	MTMR6
1213	clathrin heavy chain::,clathrin heavy-chain
Q9UH77	KLHL3
P07724	albumin::,Albumin::,Alb
Q9BQ87|O60907	TBL1
19765	rip1::,RIP1
2633	GBP1
16483	KAP
P04202|P27090|P17125	TGF-β::,TGFβ
910	R1
853964	tgl4
Q13618	CUL3
387231	miR-122
9531	BAG3::,bag3
P40306	β2i
1254421	invG
P18096	BE2D3,
1277	collagen 1a1::,collagen 1A1
P46199	MTIF2
8975	USP13
41066	Apg16p::,vps4::,ATG1β::,eat-2::,LGG-1::,ref(2)P::,Buffy::,dRagA::,Jumpy::,BCL‐2::,DHPR::,hVps34::,Rb::,myogenin::,Flotillin‐1::,htt::,MCL‐1::,CDKN1B::,d::,JNK1::,dBI‐1::,NLRP3::,TAB2::,POMC::,Htt::,α-hemolysin::,ATG36::,Tom1L2::,CYP27B1::,PERK::,LAMP-1::,MITF::,TMEM59::,α-syn::,SQST-1::,unc-51::,epg-7::,atg-18::,W07G4.5::,Ubqln4::,Il18::,NCAM::,miR-212::,epg‐6::,AIN‐1::,gba::,PrP::,HMGA2::,let-7::,GlyPi::,exo-3::,ERK2::,TRAIL::,Aco2::,CIP2A::,p22::,LC3β::,TCF4::,PDHE2/E3 bp::,e-cadherin::,Dcp-1::,urh1::,mdx::,Atg16L2::,NCOA4::,PTEN::,rpn‐2::,ULK1::,CD45.1::,ERdj3::,Bak::,Inn1::,Cay1::,mpn1::,HRas::,BACE1::,Aβ::,IBA-1::,Cx3cr1::,KSHV‐TK::,NTR1::,Coi12p::,α7::,FKF1::,DTS::,Ubi::,CD11b::,SPF1::,UBE2D1::,Sec23::,NFATc2::,FOXO1::,desmin::,IGF2::,AGO6::,AGO4::,pat1::,miR‐290::,Pkm2::,PKM2::,Myc::,LGR5::,Matrin3::,Raver1::,CTxB::,Atp8a2::,MVH::,btn2::,LC3B::,Karst::,karst::,FMRP::,FMR1::,dfmr1::,MSL1::,PLK-1::,CCR9::,CD123::,cKIT::,Hrs::,miR‐125::,endothelin-1::,SKAP55::,toyocamycin::,caspase-3::,SOD1::,DDX3::,Coq9::,vps21::,Snc1::,Sec61::,YPT1::,Hmg1::,Aβ42::,Aβ40::,XRCC4::,DEC::,TNFR1::,Pcbp4::,CRAF::,CD86::,IL-1RA::,Acta1::,Catnb::,CUL3::,p48::,Nsmce2::,KRIT1::,YAP::,E6::,NKG2D::,Sig5::,Mapt::,claspin::,gephyrin::,GluN1::,CD11c::,CAIX::,Id1::,MEKK3::,Su(H)::,DND1::,TBPH::,Bax::,SMC1::,Braf::,ABL1::,Oas1::,KIF3B::,KIF21::,IFN-β::,HDAC6::,RIG-I::,DNase I::,vinculin::,miR-10b::,ABCB8::,HKII::,LukF-PV::,CS::,FRK1::,WRKY29::,Prp5::,Wnt-3a::,FoxM1::,Stat3::,Dvl::,IFT80::,TOMM20::,NDUFB8::,Yap1::,Tead4::,CaMKII::,Mis18::,Rnaseh2b::,NAT1::,FH::,Trove2::,ChAT::,GF-AA s::,INVS::,Gli1::,Rad23::,Munc18-1::,TNRC6C::,Il1b::,GADD45β::,α11.2::,GluA1::,Nap1::,MRE11::,WRNIP1::,plasminogen::,VN::,α-mannosidase::,Fstl1::,IL-2::,Rab1a::,IL-21R::,CPAP::,ERp57::,M3R::,TBK1::,ACO2::,ErbB4::,Mef2::,JAM-A::,Nup170::,nup116::,MAPKKK5::,PBL27::,RBOHD::,mapkkk5::,ins::,igfbp3::,bactin::,junD::,F9::,ß3-tubulin::,Hal::,DICER::,NAT4::,E2F4::,HIF-1::,Smc1β::,UBQLN4::,ORP8::,Drp1::,HUWE1::,Sele::,CCNB::,GASZ::,Trpml1::,SOX2::,Prox1a::,GLI3
17076	DEC::,DEC-205
11846	EGF::,eyeless::,FIP200::,LAMP2::,GC‐G::,UBE4B::,DEC::,Tex11::,p48::,NSMCE2::,Rpp30::,ERK5::,SLFN11::,Beclin-1::,cMyc::,Dyn1::,VMD2::,pus1::,IFT54::,Lrig1::,RAB2A::,Pgc1::,CREST::,ATM::,MALT1::,Sirt5::,Dln1
Q7Z3C6|Q674R7	Atg9::,ATG9
19374	Rag2
139341	FUNDC1
P18418	Calreticulin::,calreticulin
13434	Dnmt2
76137	MCUR1
41823	GlyS::,GlySi
Q61221	CaM::,GATE‐16::,Atg16L1::,HMGB1::,HIF-1α::,BI‐1::,TAB2::,LC8::,BECN1::,SQSTM1::,atg7-2::,Ripk2::,atg‐2::,PrP::,PH::,uga2::,Atg19::,VPS35::,WASH1::,invG::,SPR-4::,Lamp2b::,ULK1::,AGO6::,secretagogin::,Inn1::,centrin-2::,Aβ::,noc::,FKF1::,CO::,SiglecF::,PCDH7::,LCK::,Sec23::,Phb2::,STAMP2::,VHL::,laminin::,CP110::,MDH2::,miR‐125::,miR-210::,TP53INP1::,miR-203::,TLR8::,Lgr5::,titin::,atg18::,atg11::,prb1::,APPβ::,Ape1::,lro1::,Villin::,AID::,IgG2a::,NRP1::,CCM3::,Swi6::,myosin II::,HIF-1::,2d2::,Syt11::,tlh1::,ral::,GAL4::,DND1::,ER::,netrin-1::,MCOLN1::,Lyzs::,Plk4::,STAT1::,HlgA::,chm::,Prp5::,ICAT::,Wnt3a::,IFT172::,LIF::,FIP3::,Uba2::,Ubc9::,MCP::,mdi::,CHL1::,RIF1::,Rad23::,CD19::,SEPT6::,Dars2::,uPAR::,AKT3::,CD127::,IL-21R::,USP19::,Beclin-1::,Cep152::,PDI::,TBK1::,Sas-6::,cycb1;3::,ku70::,MET::,Wbp5::,Rbm26::,CARD14::,BCL10::,MALT1::,IL-2Rα::,IL-2Ra::,ORP8::,Sept7::,HUWE1::,Alas2::,cortactin::,PALB2::,Gli2a
P24593	IGFBP-5
13006	SMC3::,Smc3
O74958	Mmi1::,mmi1
Q8BGT5|Q8QZR5	pra1::,npc1::,CC1::,bec-1::,elav::,htt::,Red1::,LRRK2::,α-syn::,SQST-1::,LLO::,DAPK1::,CALM::,RDR6::,nicastrin::,alanine aminotransferase::,ALT::,noc::,H‐2Kb::,Cacna1a::,LSD1::,Ccno::,sec12ts::,Sec12::,F4/80::,VE-cadherin::,MICA::,GAL4::,Uba2::,ter1::,Pou2af1::,CXCR5::,BSA::,Gal4::,PBL27::,UBQLN4::,IDH2::,H2AX
10243	gephyrin
O55055	Dnmt2
Q99MK8	GRK2::,grk2::,Grk2
Q9WUI1|O08911|Q9Z1B7|P47811	p38
2099|2100	ER
