P39052	Dyn2
O95631	Lamp-1::,SipB::,α-amylase::,ULK1::,DAPK::,dTSC2::,DHR3::,LC3::,Cdc2::,UVRAG::,mec‐4::,Hla::,Pex3::,epg-6::,lgg-1::,Gal4::,CerS1::,lamin B1::,LLO::,HACE1::,invG::,Nox2::,AR::,CALM::,IL-8::,FUNDC1::,Bax::,STIL::,IBA-1::,Cx3cr1::,CPEB4::,p65::,Lyz::,Phb2::,pat1::,Htb1::,hsp42::,FMR1::,GCN4::,miR-210::,Asm::,IRE1::,β-catenin::,IFN-γ::,Ly6G::,IL4::,PHD1::,Myd88::,CD4::,SMAD1::,Syt11::,netrin-1::,Netrin-1::,net-1::,YAP::,OTUB1::,ABCB8::,CASP1::,LukF-PV::,MKKK7::,TRIM33::,IFT54::,IFT57::,cGAS::,Vtn::,Cas3::,RIF1::,SEPT7::,uPAR::,VPS39::,cycb1;1::,MAPKKK5::,ORP8::,UNC-61::,PIPKIγi5::,Hrs::,Gata6::,NANOG::,CBLB::,NTN1::,net1::,CD45::,myogenin::,CtIP::,Smc1::,VAMP2::,GadY::,Miro1
Q64122	MYL9
Q00534	CDK6
291703	ERCC3
O88809	DCX::,Dcx
Q54BC8	PSMB5
P32248	evi1::,Evi1::,CCR7
Q27Q52	Wnt5a
A0A1V4K1W9	CUEDC1
Q28132	SCF,GM-CSF
44849	Gata 4
Q95V25	SLO
P62839	UbcH5
7113	TMPRSS2
Q8IU57	IFNα4
P26927	15S
Q3T0Y5	PSMA2
Q5FB19	hnRNPA3
P10451	Spp1::,OPN
O80982	hsfa2::,HSFA2
67414	Mfn1::,MFN1
837341	At1g08200
P21817	miR-208b
690028	IL-31::,IL31
P55095	gcg
P04202	TGF-β1::,Tgf-β1::,integrin β1::,TGF-β
G2YX85	biquitin::,biquitin.
20963	CCC1::,Vps24::,DAPk::,daf-2::,β6::,Pten::,SUMO‐3::,α-COP::,RagD::,Jumpy::,p62::,FYCO1::,DHPR::,RyR1::,AMPK::,Atg16L1::,HMGB1::,Beclin-1::,Gal80::,Red1::,PELP1::,hVps34::,InlK::,MVP::,LC3::,ULK1::,α-hemolysin::,Atg36::,myosin VI::,LC3B::,GAPDH::,MCU::,RNase A::,VDAC1::,epg-7::,Zwint‐1::,thiolase::,miR-132::,RARα::,SNX18::,beta Actin::,Atg310::,GEMIN4::,MiroS::,bec-1::,WGA::,Ift88::,LC3β::,β‐catenin::,Acs2p::,Atg8p::,ACS2::,Rpl25::,Eps15::,VPS35::,Atg8a::,sdt1::,spns1::,p47phox::,mdx::,Atg16L2::,Atp6v1h::,egl‐46::,LAMP-1::,FUNDC1::,APP::,ddm1::,TH::,Bak::,cay1::,EMP1::,LAMP1::,Aβ::,BACE1::,CHL1::,TFIIS::,Twi1p::,β2i::,β5::,Rab3-GAP::,Dusp5::,Syk::,BTK::,NOD2::,Mbd2::,EHD1::,STELLA::,ubiquitin::,caspase-3::,UBE4B::,YAP::,COL7A1::,FMR1::,CCR9::,SYK::,BLIMP1::,Centrin::,DER::,ALDH1A2::,ZEB1::,ACTB::,E‐cadherin::,Coq9::,CENP-F::,RAP1::,Sgk::,Prkrir::,CCR1::,MLH1::,C7::,Acta2::,Catnb::,p48::,PHD1::,NRP1::,Id1::,TGF-α::,MICA::,NKG2D::,NR3C1::,PLCβ1::,bak1::,MEKK3::,Syt11::,ade6::,USP9X::,RPA1::,BRPF3::,Smac::,PLCγ2::,CD45::,CD22::,M.SssI::,KIF1C::,IFN-β::,Tom22::,Bax::,KRAS::,miR-10b::,ABCB8::,cym1::,isolectin B4::,PCM1::,gTbr2::,Prp5::,Wnt3a::,FoxM1::,ICAT::,SMC3::,miR-515-5p::,MARK4::,CaMKII::,NeuN::,NAT1::,C3b::,ChAT::,NB-3::,h3.3::,Skp1::,Rad23::,Aquaporin 4::,α11.2::,β2AR::,FRS2::,ob::,uPAR::,EGOT::,RAB2A::,CAT-1::,HuR::,Bob1::,PD1::,Pou2af1::,SV2::,skn-1::,NSUN3::,NEDD1::,SOG1::,ku70::,RNaseT1::,LUBEL::,miR-449a::,Nup170::,arx::,igfbp1a::,PS1::,casp-3::,nat4::,Gpr124::,Prom1::,MALT1::,REC8::,Sept2::,HUWE1::,Chs6::,ER::,EpoR::,Scl::,Gata4::,Mpc1::,Shp2::,DESMIN::,miR-21::,miR-21-3p::,SMAD7::,CXCR2::,UbcH7::,Hrr25::,MITF::,CYLD::,ANG-2::,CD19::,SCF::,dmDis3l2::,Nrg1::,ACSL3::,Myosin 7A::,TP53::,TRAIL::,yki::,Rag1::,CCM1::,fibronectin::,vimentin::,α6::,FBXO7::,MYC::,LLO::,Huwe1::,c-Myc::,Tab1
6387	Cxcl12::,CXCL12
Q9GLN5	Birc5
O55242	VCP::,LC3B::,IRGM::,ft::,SUMO2::,α-hemolysin::,sgk1::,Beclin 1::,da::,MIC3::,ACS2::,spns1::,p47::,SQST‐1::,ddm1::,MC9::,Id1::,EMP1::,HA::,Sec16A::,FOXO4::,β1 integrin::,α-actinin::,Dnmt2::,Sema3A::,Swi6::,IRC3::,LacI::,DCC::,CD22::,KRAS::,LukS-PV::,β-catenin::,LIF::,IGF-I::,Tau::,eIF3-S2::,Trove2::,histone::,VN::,VPS41::,HuR::,Rbm26::,Chs5::,VGLUT1::,CIP::,Sig1R::,IFN-β::,pep4
P19468	Gclc
P43685	(all at 3 mg/kg).There
327766	Tmem26
Q8VCQ3	NRBF2
100313998	miR-17
19126	Prom1
Q8IYB3	pwi
796537	AUT7::,Rab8a::,IL-1β::,CEBPB::,Atg18::,LAMP1::,apn-1::,Mfn::,CRH::,NRBF2::,ADAP::,Coq9::,Sec61::,PEP4::,C7::,Siglec‐5::,gephyrin::,IL-6::,VEGF-A::,Wnt-3a::,USP5::,AP::,Rnaseh2b::,mdi::,Fbxl17::,FBH1::,glucagon::,SMA::,Dln1::,Prox1a::,Flk1::,Syk::,flk1::,kdrl::,ReaChR::,ANG-2::,YAP::,caspase 3
768	CA IX
2100	ERT2
416928	Igλ::,IGLV
8153195	covR::,covR;
179352	atl-1
898|9134	cyclin E::,Cyclin E::,CycE
55611	OTUB1
405794	Gfra2
P42773	p18::,P18
O01541	H1.3
Q39026	MPK6
Q66KI8	Apcdd1
Q91XJ1	beclin 1::,Beclin 1
32797	FRQ
Q7ZYQ0	EMA
2540450	crs1+
Q8BFU8	hLAMP-2A::,p38IP::,Nix::,dBruce::,PMP70::,UVRAG::,SQSTM1::,CALM::,IL-8::,Clb2::,CD11b::,TLR9::,LXR::,IFN-γ::,YAP::,TGF-α::,SLFN11::,eIF2a::,ABCB8::,Stat3::,Acta2::,Rab1a::,junD::,nat4::,MALT1::,GASZ::,LIMT::,MAP-2::,TWIST1::,CTGF::,pho8::,Vglut3::,Cxcl9::,EGFR
R9VUC6	CK19
Q9R0T8	IKKi
14083	FAK::,Fak
O42269	HD
Q8WW38	gata2b
Q3ZMH1	A8L
P55201	BRPF1
512499	SHARPIN
26396	MK-2
269587	Elp1
Q92466	CUL4A::,CUL4B
P36525	MRPL14
F4I443	BARD1
Q9PWE8	Tbx5
P50232	Syt4
P79393	Ptgir
664	Bnip3::,BNIP3
Q39024	summ3::,MPK4::,SUMM3
22941	Shank
170755	SGK3
4074	M6PR
Q7Z7L1	SLFN11
Q5VT06	Cap350::,CAP350
E0CZ16	KLHL3
829783	Srs2
406991	egl‐1::,hPS1::,Ref(2)P::,ref(2)P::,Cg::,VCP::,NAF‐1::,HDAC6::,MAP2::,DHR3::,Bnip3::,LAMP::,cholera toxin subunit B::,HMGB1::,MCL‐1::,ARL8B::,Beclin‐1::,TAB2::,M45::,optineurin::,Src::,Bim::,LC8::,N-Shh::,TFEB::,Epg5::,α-syn::,JFH1::,epg-7::,lgg-1::,Trp53::,PAT4::,CerS1::,GABARAP-II::,LC3::,GEMIN3::,WIPI1::,MTMR3::,RINT-1::,Atg38::,GlyPi::,Defa6::,Bec-1::,ATG16L::,LC3β::,ACS2::,mNDP52::,Atg14::,LAMP1::,VAMP2::,L2A::,ERdj3::,γ-tubulin::,EMP1::,Aβ::,IRS-1::,IBA-1::,Noc::,Dmef2::,TNF-a::,rpb1::,Sar1::,Sec24D::,STAMP2::,miR‐106b::,Matrin3::,Gnd1::,VHL::,ERGIC‐53::,SOD1::,α-spectrin::,FMRP::,dfmr1::,CCR9::,LXR::,Ncoa5::,PECAM::,TP53INP1::,RB::,ATR::,IFN-γ::,Tsp1::,Bnp::,Dnmt2::,AID::,caspase-3::,CD19::,Vegfc::,MICA::,Rab8A::,Rab8B::,claspin::,CFL1::,Bmp6::,Syt11::,CD22::,GM130::,Hex::,Mic27::,TFE3::,CASP11::,Plk4::,Cas9::,LukE::,Pgc1α::,PRP5::,Prp5::,pus1::,KLF5::,Stat3::,ESCO2::,IFT38::,Yap1::,TrkB::,Lrig1::,eIF4A::,MCP::,PSD95::,Mdy2::,Ubp6::,CD11b::,CX3CR1::,p150::,FLCN::,RAB2A::,Fstl1::,miR-21::,HuR::,C9orf72::,Rab1a::,Pou2af1::,NavMs::,ODF2::,ERp57::,CDKA;1::,BSA::,NRG1::,PBL27::,igfbp1a::,MET::,H2AX::,HUWE1::,CCNB::,miR-10b::,LAPTM4B::,DESMIN::,UCP1::,HSL::,miR-21-3p::,CYLD::,SPATA2::,Caspase 3::,SLC25A46::,F4/80::,TNF::,HIF::,c-myb::,H4::,CD25::,CLB2::,IP3R3::,Nrg1::,BACE1::,MOG::,p53::,Lamp2::,FBXO7::,Clpp::,oskar::,Apc::,KAT2B::,p65
Q3SZN3	OMA1::,Oma1
C8UJY9	RyhB
3624	htt::,eNOS::,LC8::,VDR::,Epg5::,LRRK2::,epg-4::,SesB::,Nox2::,pep‐2::,ATG9A::,CALM::,BiP::,IRS-1::,RPL21::,Twi1p::,Brca1::,γ-H2AX::,Ift57::,Abca1::,Nurr1::,KLF4::,sec5::,Su(H)::,CD22::,TRAPPC4::,PERK::,NLRP3::,Pou5f1::,Ubc9::,Larp::,Nemo::,Cdc25C::,HGF::,Pou2af1::,CXCR5::,IL-21R::,Sox9::,DIS3L2::,Chs5::,EpCam::,miR-10b::,Gata4::,α-synuclein::,ReaChR::,INHBA::,Inhba::,TAZ::,Coq9
8165	AKAP1
4226975	TnpR
Q9EQY0	ire1α::,IRE1α
Q80YX1	tenascin C::,Tenascin-C::,tenascin-C
P08411	Ts6
P28482|P27361|Q16659|P31152|Q13164|P53778|Q8TD08	ERK
78961	GOLPH3
P17412	frdA
80342	T3JAM
A0A109R0T6	FcγR-I::,FcγR-II::,FcγR-III
P11075	IFN-γ::,Atg5::,calmodulin::,TIGAR::,DHPR::,BAX::,FEZ1::,Atg3::,Epg5::,KAP::,pnp1::,TAS3a::,Dusp5::,NRBF2::,Ufd2::,survivin::,sst1::,4E-BP1::,CD34::,H2AX::,53BP1::,Coq9::,ypt1::,C7::,C1q::,CD8::,RPA2::,TET1::,Bax::,Yap1::,FNIP2::,plasmin::,Atg19::,mitofusin-2::,APP::,SOX9::,igfbp6b::,junD::,UBQLN4::,Sept2::,Sec7::,Sec7p::,VEGF-A::,ANG-2::,dmDis3l2::,Act::,CD31::,p62::,EcoRV::,TBK1::,γ-tubulin::,GATA4
841576	Y14
12902	CD21
P00747	plasminogen::,Plg::,plasmin::,Pli::,Plasminogen
Q96PC3	AP-1
Q15645	WC-2
Q15388	Tom20::,TOM20::,TOMM20
P0C8T0	HOSE
O61843|B1V8A0|A5A8Q9	endophilin
100142679	STAT6
6601	BAF170
O15315|Q06609|O43502|O75771	RAD51::,Rad51
A6H6A9	Rab22a
851929	Pex3::,pex3::,PEX3
3553	IL1β::,IL1B
Q9NQC7	CYLD::,SPATA2::,spata2
32636	βDG
406	BMAL1
P13473|3920	LAMP‐2A
O60763	p115
Q9H1Y0|9474	ATG5
Q9QY76	VAPB
818438	TFIIS
18999	aut7::,Apg5p::,apg7::,APG12::,CDK4::,p27kip1::,EGF receptor::,ATG1α::,TFR::,catD::,p55::,SipB::,eat-2::,β2::,DAPK::,TRAIL::,Jumpy::,LC3::,SERCA::,DHR3::,parkin::,MuRF‐1::,Atg‐16::,GATE‐16::,cholera toxin::,NOX2::,Mtb antigen::,nestin::,ARL8::,Cki1::,Atg16::,eIF2::,dBI‐1::,IL‐1β::,deg‐3::,DYN‐1::,mec‐4::,MEC‐4::,Rags::,SCOC::,Hla::,Atg36::,Atg11::,Ret::,Bad::,Gli2::,CD-M6PR::,Sgk1::,TMEM59::,LRRK2::,daf-2::,atg-9::,LGG-1::,ced-9::,Ripk2::,Nod2::,Atg30::,Gal4::,gba::,XIAP::,Gal3::,let-7::,β-integrin::,Atg16L1::,RINT-1::,beclin-1::,Fbxo7::,polyubiquitin::,GSK-3β::,ACS2::,SQSTM1::,Dcp-1::,WIPI2b::,GRL2::,Hrr25::,lin‐9::,VAMP3::,lap::,LAMP-2A::,AGO6::,RDR6::,GRI::,centrin-2::,Oct4::,HA::,PI5P4K2A::,ATG12::,LAMP2::,APP::,IκBα::,F4/80::,CrkL::,Giw1p::,ERK1::,α‐factor::,Rad53::,Rrm3::,FXR::,HSF1::,UBE2D1::,LAMP1::,NFATc2::,NOD2::,collagen 1a::,miR‐290::,LGR5::,Wnt4::,Raver1::,Tfn::,OCT4::,STELLA::,TFG::,CACNA1A::,LSD1::,PlGF::,FMRP::,LXR::,miR-210::,Asm::,PD-1::,TNF::,Ccnd1::,DDX3::,Coq9::,atg2::,sec12ts::,ypt1-1::,prb1::,Hmg1::,Aβ40::,Aβ42::,DEC::,Kcnq1::,Atg8::,CD206::,Catnb::,KLHL3::,CUL3::,Nedd8::,Tom20::,p53::,IgG2a::,Nsmce2::,KRIT1::,YAP::,PTPRN2::,CHCHD6::,Syt11::,sec15::,sec8::,DCP1a::,TRA98::,H2AX::,B-Raf::,troponinT::,CTCF::,p38γ::,Lyzs::,Gr-1::,TAZ::,KRAS::,Wbp2::,VEGF-A::,HlgC::,atpcl::,Prp5::,LIF::,Pou5f1::,IGFBP-4::,IFT80::,MARK4::,Rnaseh2b::,MCU::,RanBP2::,NAT1::,MCP::,NB-3::,PTPσ::,DCX::,INVS::,TNRC6C::,Ifnar1::,Rab34::,GluA1::,WRNIP1::,TGFR1::,fibronectin 1::,CLU::,a2AP::,Ape1::,MT1-MMP::,RAB7::,TGN46::,FUS::,Fn1::,miR-122::,ubiquitin::,C9orf72::,Ndc10::,CXCR5::,ICOS::,PD1::,NavMs::,Nde-1::,Ofd1::,Pax6::,Sas-6::,STIL::,CDKB1;1::,CYCA2;3::,CDKA;1::,ErbB4::,Ub::,Mef2::,PKCδ::,MET::,Scl::,Ago2::,Tbr2::,HIF-1α::,MALT1::,CARD14::,Stag3::,RAD21::,IP3R-3::,ORP8::,RBM15::,Sirt5::,SIRT5::,Alas2::,ER::,Gata4::,TRIM33::,DAPK1::,GLT-1a::,UBQ10::,c-Myc::,α-COP::,Nanog::,miR-132::,CYLD::,SYCP3::,Noxa::,Ahr::,AMOTL2::,IL-17A::,PEX13::,MYD88::,Tek::,CD34::,pep4::,FBXO7::,EndoH::,Wrb::,CCL2::,IL-6::,γ-tubulin::,LLO::,FoxM1::,Oct6::,Tab1
P10243	cmyb1
17393	MMP7
P40615	DKC1
945725	S100β::,sipD::,FYCO1::,sav::,GAL1::,ATG9::,p22::,rpl‐43::,STIL::,Dusp5::,Terc::,btn2::,Rubicon::,Vps34::,CCL2::,FXR1::,KIF1A::,ETS1::,Prp5::,Sld3::,ChAT::,FBW7α::,glucagon::,Stag3::,PTPIP51::,YAP::,Trpml1::,TAZ::,CD4::,β5i::,rssA
O04379	miR-517a::,miR-586::,miR-1003
P19525	PKR
P17046	lamp2a::,lamp2::,LAMP‐2A::,LAMP‐2B::,Lamp2::,LAMP2::,LAMP2a::,LAMP-2A::,Lamp2a::,LAMP2A
P62755	S6
P30952	mβ5i::,yβ5
821	CNX
P16871	CD127::,IL-7
414741	CD74::,Cd74
P08121	COL3A1
4627	NMHC‐IIA::,MYH9::,NMHCIIA
16664	K14
23479	ISCU1/2
326857	Gclc
867	CBL
Q9JIS5	SV2A
P42574|P42574	caspase-3::,Caspase-3
Q9UBE8	p19INK4D::,Alfy::,TLN::,pha-4::,ULK1::,BAG3::,DAPK::,cortactin::,DHR3::,Vti1b::,HMGB1::,Sqa::,Ulk1::,MRLC::,yki::,LAS1L::,SUMO::,actA::,UNC‐104::,RagC::,POMC::,adipose triglyceride lipase::,Ret::,Src::,Bim::,VP2::,Atg16L1::,VDAC1::,CerS1::,EndoH::,SNX18::,Beclin1::,ATG16L1::,Ub::,Ambra1::,C2::,FYVE::,PDI::,UVRAG::,Lamp1::,PlcA::,Rosa26::,lysozyme::,MIC3::,PGL-1::,Atg8p::,ACS2::,spns1::,TIM23::,secretagogin::,GRI::,PRK5::,CP110::,SPBC2A9.02::,Sox4::,HA::,Ctns::,PR-SET7::,CrkL::,miRNA‐34a::,CD69::,IL-33::,PCDH7::,USP45::,Dgcr8::,PTB::,LSD1::,COLVII::,dfmr1::,Shi::,GFAP::,Tie2::,PARKIN::,Lgr5::,Snai1::,sec12ts::,Snc1::,XRCC4::,SDHA::,Trf1::,miR-511::,TBL1::,NPC2::,vitronectin receptor::,Tex11::,NRP1::,Nsmce2::,E6::,YAP::,NKG2D::,IL‐8::,LRRC8D::,gephyrin::,BAK1::,Fsp1::,CCM1::,SMAD1::,KLF4::,Id1::,TEAD::,ral::,exo84::,Irf7::,CD4::,Tcf7l1::,Ctnnb1::,DCLK1::,p38γ::,Lyzs::,ABCB8::,Stat1::,ZEB1::,miR-515-5p::,cGAS::,eIF4A::,NAT1::,Fam193b::,ChAT::,DCX::,h3.3::,Fbxl17::,Get4::,MALAT1::,NEMO::,Apoe::,Cdc25C::,uPAR::,MDM10::,Tom70::,Nuf2::,Ams1::,AKT3::,Foxp3::,CD63::,TNF-alpha::,ubiquitin::,Rab1a::,gp6::,Pou2af1::,Bcl6::,Nde1::,ERp57::,Sas-6::,cycb1;1::,TDP-43::,igfbp1a::,APP::,junD::,F9::,AP2A1::,c-Jun::,SYCE1::,UBQLN4::,IL-2Rα::,ORP8::,ORP5::,Sept2::,NF-YB::,Epo::,fft2::,Aldh1l1::,IL-12::,Nqo1::,Cuedc2::,SMAD7::,UbcH7::,Hrr25::,p53::,Sig1R::,Vim::,Bin1::,NLK::,IL-1R1::,CoQ9::,CD34::,Pep4::,FBXO7::,IL-6::,PR1::,Aβ
P35207	Ski2
181728	mec‐4::,MEC‐4::,mec-4
Q99J83	Atg5::,ATG5::,atg5::,ATG-5
Q7KZN9	COX
Q8SYC0	Bruno
59	αSMA::,αSma
84489	FGFR3
Q8BGV3	Trop I
4514	Cox3
B0LX59	BsaHI
2542069	ssm4
P14753	EpoR
850824	Cki1
12978	Csf1r
175072	eat-2
P21575|Q08877|P39052	Dyn
Q13185	apg12::,npc1::,DHPR::,d::,sav::,LC3B::,OM45::,Ret::,SEPA‐1::,ATG9A::,Dcp-1::,dbl‐1::,ddm1::,CCA1::,Foxa2::,miR‐290::,LXR::,Serinc3::,SOD1::,ypt1-1::,PLCβ1::,CD22::,PAQR3::,gTbr2::,Stat3::,Cdca5::,NRAS::,FH::,Ptch1::,munc18-1::,Nemo::,BECN1::,OFD1::,dCYLD::,igfbp1a::,X-chromosomes::,STING::,HP1y::,Huwe1::,ELP2
A4GZV0	DIABLO
P13096	mβ5i
Q09472	KLF15::,Bcl11b::,PPP1R13L
15407	HoxB1
Q9UTK7	Dsc2
17261	Mef2D
439	TRC40
P31000	vimentin::,Vimentin
Q16181	SEPT7::,Sept7
P15331	Peripherin
614105	TECR
B1AKA9	TFEB
16574	Khc
33824	α-GPDH
P33595	SgrS
Q9EQL9	SHARPIN::,Sharpin
P19889	P0
Q9Z254	v-Glut1
H2QMU0	APPL1
7154475	amiA
P08574	Cytochrome c::,cytochrome c
820438	Hsp70::,HSP70
Q8BLA0	Trp53bp1
100170564	LQT1
Q64693	Bob1
79837	PI5P4K2C
Q2VL82	SQR
L8WW06	ag1-
A8TVB5	rsaA
414755	Pln
16049	IGHV
P24941	cdk2ap2::,pY527
1540	SipB::,LGG-1::,UBQLN2::,Bcl‐2::,TRAIL::,SUMO‐3::,epsin 1::,ft::,npr2::,Bcl-2::,TAK1::,TAB1::,mec‐4::,deg‐3::,CD16::,LRRK2::,let-363::,Ubqln1::,p20::,Trp53::,miR-132::,miR-212::,LAMP-2A::,MelanA::,β′-COP::,MIC3::,VPS35::,GRL1::,bp399::,c‐fos::,paxillin::,Coi12p::,β2i::,Dusp5::,PTB::,MORF::,CCR9::,GRX2::,miR-203::,Coq9::,Trf1::,CycE::,LXRα::,NRP1::,KRIT1::,RPA2::,Braf::,cTNT::,TET2::,CD45::,TfR::,DCX::,KIF1C::,IL3::,p38γ::,PAQR3::,NAT10::,MARK4::,Rnaseh2b::,FIP3::,Lck::,VCAM-1::,Atgl::,GADD45β::,ATG7::,Ugo1::,ter1::,HuR::,miR-122::,Nde-1::,Pax6::,CDKB1;1::,dCYLD::,F9::,Cxcr4::,CYLD::,CARD14::,Sirt5::,HUWE1::,GM130::,Dln1::,USP9X::,CD20::,RAD21::,MITF::,Il-1β::,IgG1::,TRIF::,CCL2::,MYC::,PS1
A0A0D4ZXG6	Eco2
834630	atg7::,atg7-2::,ATG-7::,ATG7::,Atg7
29666	PSMB6
2702480	COXIII
O08528|Q3TRM8|P17710	hexokinase
19387	RanGAP1
Q8R1S0	Coq6::,COQ6
400916	CHCHD10
Q9CPX6	Atg3::,ATG3
Q961J3	PINK1::,Pink1
2847761	RyhB::,ryhB
Q92731	ERT2
4118	MAL
Q62226	TRAIL::,Rab7::,mei4::,IL-1β::,Shh::,gba::,TfR::,ACS2::,V90D::,MPP::,NCOA4::,PI5P4K2C::,alanine aminotransferase::,Wnt4::,Spitz::,fibronectin::,PTPRN2::,fkh::,Bid::,EFHA1::,TLR2::,Trpv2::,Stat3::,ATM::,miR-449a::,H2AX::,NAT4::,53BP1::,Pin2::,SHH::,Tlk2::,shh::,Sonic Hedgehog::,Gata1::,miR-21-3p::,CXCR2::,RAD21::,KRT23::,CD4::,BACE1::,Vinculin::,CD11b::,p97::,oskar
18746	Pkm2::,PKM2
P49334	Tom22
100362347	Fnip1
P17564	GADD34
542373	Rab17
Q9Y4W6	AFG3L2
10974713	hFIX
856567	Mpc2::,mpc2::,MPC2
180714	dop-1
854644	SUC2
P04797	GAPDH::,Gapdh
P31994|P31995|P12318	CD32a
P07711|O60911	cathepsin L::,cathepsin
Q9R1Z0|Q9Z2L0|P81155	VDAC
Q5TYK9	vps-34::,VPS-34
P40200	increased using the
Q32PD7	MYEOV
60	β-actin
234967	PAT4
Q9JLN9	mTOR::,mTORC1
100033679	miR-155
O50603	LukS-PV
504632	CNNM2
9486897	t(
3772492	miR-124
117550	Khc
O88737	Bassoon
116756	drb3)
P27573	PS1::,daf-15::,ref(2)P::,VCP::,α 1S::,IRGM::,Yki::,UBF1::,UNC‐116::,Src::,Bim::,Pex30::,LRRK2::,TH::,LAMP-2A::,Parkin::,MAD2::,S5a::,AIN‐1::,CerS1::,CD63::,RINT-1::,UVRAG::,MTMR3::,Dyn2::,MIC6::,MIC1::,DAPK1::,MURF2::,spns1::,REST::,Atg19::,LAAT‐1::,cay1::,Aβ::,CPEB4::,lhy::,Dmef2::,IL-33::,FXR::,Lamp2::,RANKL::,Matrin3::,EHD1::,hsp42::,α-spectrin::,GRM4::,CD32a::,Foxj1::,Ccno::,MDH2::,GOT2::,EGFR::,VHL::,Asm::,TNF::,Coq9::,Atg11::,ypt1-1::,Catnb::,CUL3::,α-SMA::,Sema3A::,NKG2D::,IL-2::,IAb::,Ang-2::,CCM1::,YAP::,ral::,glycogen synthase::,eIF2::,HDAC6::,CS::,VEGF-A::,Dvl::,Lrig1::,cGAS::,C3b::,MDI::,Fus::,Tuj1::,Munc18::,FLCN::,β2AR::,Pli::,Ape1::,FUS::,HuR::,gp6::,Pou2af1::,FBW7α::,VPS4B::,DNGR-1::,NTR::,PolD3::,Ccdc78::,SYCP3::,CD42::,CD34::,CCNB::,GASZ::,miR-10b::,PIK3CA::,Prox1::,PIPKIγi5::,CD19::,GPX1::,Cuedc2::,SNAP23::,PSD95::,rbd2::,P0::,Sig1R::,ACSL3::,Tom20::,H2A.X::,PEX13::,Myd88::,Hcp::,SOX2::,otoferlin::,Oct4::,APP
P54274	TRF1::,Trf1
373589	vegfaa
P61006	Rab8a::,Rab8A::,RAB8a
O15264|Q16539|Q15759|P53778	p38::,P38
A0A0X8E9X8	FcγR-I
Q9JK95	Pmp22
13607	Eda
322248	BAF57
O75351	VPS4B
54859	Elp6
A9JR78	TONSL
P49698	β‐galactosidase::,yki::,VP2::,TMEM59::,nsP2::,KAP::,ALIX::,FAPP1::,ATG4B::,dnm1::,NFAT1::,oxytocin::,AVP::,Inn1::,HNF4::,CD4::,Phb2::,STAMP2::,PR::,ATP8A1::,ManII::,XBP-1::,DDX3::,Snc1::,Mef2A::,F4/80::,Prp5::,PSD95::,AKT2::,Gpr124::,Hnf4α::,fft3::,miR-21-3p::,CXCL5::,UbcH7::,Aβ::,Ccr2::,p53::,HNF4α::,Mmm1
564521	Mki67
17110	Lyz
1791	tdT
P05198	eIF2α
P24844|P19105|O14950	MRLC
P46934	Nedd4::,ARRDC3::,NEDD4
Q96CV9	optineurin::,OPTN
6595	Aut2p::,APG7::,catD::,IFN-γ::,SipB::,Hs::,TRAIL::,MTMR2::,RyR1::,AMPK α 1::,HMGB1::,LC3::,Yki::,Bcl-2::,TAB3::,LAMP1::,Src::,VDR::,VII::,Atg14L1::,atm-1::,Parkin::,Beclin-1::,Atg8p::,ACS2::,mNDP52::,WASH1::,Ref(2)P::,Lon::,OFD1::,TFEB::,lgg‐1::,rhodopsin::,Sec24D::,ERdj3::,Id1::,Orc2::,CO::,HSF1::,Terc::,Wnt4::,Nup49::,CP110::,ALDH1A2::,Snc1::,XRCC4::,OVA::,Sema3A::,Pecam-1::,UnaG::,TRAPPC12::,Aβ::,Cas9::,E2F7::,TRPV2::,sororin::,Dvl::,IFT54::,Rad23::,Scs2::,tubulin::,NEMO::,WDR41::,Frs2::,Pdx1::,MALT1::,REC8::,Dln1::,PALB2::,GSK-3::,Scl::,Mfn2::,RAD21::,BRM::,p53::,Sig1R::,Tek::,Gal3::,RHOB::,Ryr2::,PS1
780799	IGHV
Q92585	Mam1
Q92830	Gcn5
72584	CUL4B
831407	Scc2
P16675	PPCA
P87025	Thr1
11011	Tlk2
P00342|P16125|P06151	Calbindin::,ref(2)P::,WIPI‐1::,LDH::,APS‐2::,HACE1::,β‐catenin::,Atg19::,spns1::,rpt‐3::,Bak::,centrin-2::,CPEB4::,DTS::,ago4::,Rubicon::,NRBF2::,FMR1::,Foxa2::,Foxo1::,sec12ts::,pep4::,K-Ras::,Il6::,VGAT::,Flk1::,PGC-1β::,Taz::,FACL4::,Rad53::,NB-3::,Fbxl17::,plasmin::,TUJ1::,ERp57::,RPN-11::,Snap29::,Aurora Kinase A::,Dicer::,G6PD::,miR-21-3p::,calreticulin::,Cdkn2a::,BACE1::,CD34
G5ECA1	eFF2K
P48988	CENP-B
25708	UCP3
Q9VGI0	HisCl
283316	WC-1
23880	ADAP
Q9NQI0	slice
P29474	eNOS
2541531	fft3::,Fft3
24197	ALPI
Q99J95	CDK9
